polarity,user,tweet,hashtag
0.25,1765854407575413028,We all need to watch Trump tonight to show the ratings are higher than Sleepy JoeTrump2024SleepyJoeStateOfTheUnion,#Trump2024
0.5,1765854377267323257,Exactlyif TRUMP wouldve done this during the SummerOfLove TheLeft amp Democrats wouldve labeled him Hitler even more so than normalbut its perfectly okay for a Democratic governor to do it KathyHochul StateOfTheUnion SOTU2024 Trump2024,#Trump2024
0.0,1765854329444192602,Inside Californias bipartisan fight to save kids from Big Trans Trump2024,#Trump2024
-0.3,1765854306970857521,JoeBiden Your economy sucks Stop the lying amp gaslighting and for Gods sake stop blaming everyone but yourself Trump2024,#Trump2024
0.0,1765854300918448620,cryptojourneyrs I can feel your excitement for Trump Its not your regular Crypto project its a symbol of collective ambition for financial independence Trumpwifhat Trump2024 wif Trump Trumpwifhat,#Trump2024
0.05142857142857145,1765854251761139990,specialKavon DianePalumbo2 EndWokeness How OLD are you kid SeriouslyBiden took classified documents HOME as a SENATOR Broke the lawTook classified documents HOME as VICEPRESIDENT Broke the law Youre really a special kind of stupid arent you Short Eyes Trump2024,#Trump2024
0.0,1765854210757726398,christo77562346 Vote blue you reject wanna be commie BidenBorderInvasion Trump2024,#Trump2024
0.0,1765854191954841681,CeaseFireInGaza GazaGenocide IsraeliNewNazism IsraelTerrorism FreePalestineNow Gaza Biden2024 Trump2024 GazaMassacre GenocideSupporters IsraelIsATerroristState IDFTerroristArmy GazaHolocaust SAVERAFAH GenocideJoe StopArmingIsrael ItWasAScam,#Trump2024
0.0,1765854158375055736,Did everyone see that Youngkin just endorsed Trump He is quite the man of God isnt he governorva gop thedemocrates nytmike MichaelSteele billmaher DonBeyerVA timkaine MarkWarner GovLarryHogan MAGA Trump2024,#Trump2024
0.0,1765854108391502248,MonstersCoins Join lets unleash the power of this gem by buying Trump well reach for the moon and make history in crypto space Trumpwifhat Trump2024 wif Trump Trumpwifhat,#Trump2024
0.0,1765854037587730483,POTUS trump2024,#Trump2024
0.0,1765854035616395299,JoeBiden MAGA Trump2024 StateOfTheUnion,#Trump2024
0.15000000000000002,1765854005723332854,FOXNIIGHTGALAXY Rashida Tlaib Ill be happy to see you leave Trump will be your President come November TRUMP2024VoteTrump2024,#Trump2024
0.3,1765853874731077756,itsFoxCrypto The time is now to unite and push Trump to the moon and beyond Lets showcase our strength and determination as we ride the wave of success together Trumpwifhat Trump2024 Trumpwifhat,#Trump2024
0.0,1765853865038012760,DanielTurnerPTF FJB BRING BACK TRUMP Trump2024,#Trump2024
-0.23214285714285715,1765853846406897898,JoeBiden not sure if your napping or all drugged up to prepare for the evening regardless I hope you explain why a South Philly cheesesteak cost 16 amp a plain pizza is between 1620MAGA2024Trump2024BidenomicsJoshShapiroPAPhillyMayorDonaldJTrumpJrTestaForNJ,#Trump2024
0.041666666666666664,1765853823283740954,news4buffalo Hes a much better option than Trump2024 Weak field all over but you have to take the lesser of two evils and thats Biden2024,#Trump2024
0.0,1765853793768317058,GiorgiaMeloni realDonaldTrump Trump2024 POTUS BidenHarris2024 QRepubblica Drittorovescio Mediaset canale5 Striscia Hanno criticato la Meloni perch si fatta baciare sulla testa da BidenHarris2024 In realt Biden non ci vede una mazza Durante il colloquio erano,#Trump2024
-0.1,1765853714806620410,PastorDScott TheLadieLah Saturdays 800 pm RealAmVoice Im at the Biden Shuffle aka hes got shit in his pants Such an embarrassment to America Trump2024 Hugs Hun,#Trump2024
0.5,1765853680379527558,CitizenFreePres LOVE IT MAGA ENERGY Trump2024,#Trump2024
0.1,1765853678349746432,GuntherEagleman Mass incarceration and mass deportation is the solution Fck blacks they cause nearly all the crime in this country Trump2024,#Trump2024
0.06818181818181818,1765853607860097063,cryptoskullx Lets band together and make Trump soar to new heights Together well show the world the strength of our community and achieve financial independence Trumpwifhat Trump2024 wif Trump Trumpwifhat,#Trump2024
0.5,1765853501286912310,Jules31415 LOVE IT Trump2024,#Trump2024
0.0,1765853463311753523,cryptojourneyrs Join lets rally together and make Trump a symbol of strength and unity With our united efforts dont snooze on this opportunity Trumpwifhat Trump2024 wif Trump Trumpwifhat,#Trump2024
0.0,1765853443824947507,Will Biden debate Trump2024 Show fridaymorning amct 811 FB X Rumble podcast Share SeffSaid skipmav 6string36 struppaanthony EldonStrom srsusa Terminator0765 SRJ7 Shaykay1717 SheilaG2024 SharonSimcic mcain1954 luvSB1 RealBookerScott,#Trump2024
0.4,1765853414385226181,cryptojack Join us in making our wallets great again with Trump Lets show the world the power of our community and rally towards financial independence Trumpwifhat Trump2024 Trumpwifhat,#Trump2024
0.5,1765853360026976398,nicksortor LOVE IT Trump2024,#Trump2024
-0.2333333333333333,1765853328695857389,TheInsiderPaper Its common sense to detain criminal invaders that are also committing crimes How did big government ever get it so screwedup FJB CriminalInvasion BorderSecurity Trump2024,#Trump2024
0.0,1765853257157468164,RyanAFournier LETS GO BRING BACK THE BOSS Trump2024,#Trump2024
-0.5,1765853246441058755,StateOfTheUnion IllegalImmigrantsTrump2024Check out Border Crisis Make Illegals Illegal Again TShirt eBay via eBay,#Trump2024
